bs_month,bs_year,bs_account_name,bs_amount,bs_src
01,2022,Cash on hand and in banks,681577.1235882699,FC
01,2022,Accounts receivable - trade,3012159.033134722,FC
01,2022,Accounts receivable - trade from affiliated company,237587.64238,FC
01,2022,Contract Assets,33.599239999999995,FC
01,2022,Current account receivable from affiliated company,0.0,FC
01,2022,Promissory note and loans to affiliated company,0.0,FC
01,2022,Promissory note and maketable securities,0.0,FC
01,2022,Finished Goods,1564931.872658418,FC
01,2022,Works in process,455257.10436054395,FC
01,2022,Raw materials,697614.59855967,FC
01,2022,Spare parts,550260.2399100001,FC
01,2022,"Stores, Supplies and others",271652.00459,FC
01,2022,Goods in transit,298729.22798820003,FC
01,2022,Assets classified as held for sale & Other Current Assets,303554.3059789641,FC
01,2022,Investments - At Cost,418021.1415531385,FC
01,2022,Long Term Loan to Affiliate Co.,0.0,FC
01,2022,Land and land improvements,1295067.09253,FC
01,2022,Buildings and structures,5109978.684783452,FC
01,2022,Plant machinery and equipment,46090875.879335366,FC
01,2022,Transportation and miscellaneous equipment,254827.8523436,FC
01,2022,Office furniture and equipment,584531.0102050981,FC
01,2022,Right of use - cost,1630228.225315392,FC
01,2022,Construction in progress,605662.90942056,FC
01,2022,Other depreciation assets,44007.53534,FC
01,2022,Accumulated depreciation,-37326107.34932587,FC
01,2022,Appraisal increase of assets,0.0,FC
01,2022,Intangible Assets - Net,5388684.429375541,FC
01,2022,Deferred income tax,194975.4189111672,FC
01,2022,Deferred charges & Others,686331.803900904,FC
02,2022,Cash on hand and in banks,614893.06712428,FC
02,2022,Accounts receivable - trade,3117176.7438573386,FC
02,2022,Accounts receivable - trade from affiliated company,261618.32606999998,FC
02,2022,Contract Assets,56.34863,FC
02,2022,Current account receivable from affiliated company,0.0,FC
02,2022,Promissory note and loans to affiliated company,0.0,FC
02,2022,Promissory note and maketable securities,0.0,FC
02,2022,Finished Goods,1498961.3696407042,FC
02,2022,Works in process,472030.89819374,FC
02,2022,Raw materials,866061.3577984001,FC
02,2022,Spare parts,553333.63104,FC
02,2022,"Stores, Supplies and others",277689.23608000006,FC
02,2022,Goods in transit,302174.026478,FC
02,2022,Assets classified as held for sale & Other Current Assets,304930.08882501494,FC
02,2022,Investments - At Cost,415136.7897197246,FC
02,2022,Long Term Loan to Affiliate Co.,0.0,FC
02,2022,Land and land improvements,1295617.31856,FC
02,2022,Buildings and structures,5107475.038916493,FC
02,2022,Plant machinery and equipment,46085488.80452022,FC
02,2022,Transportation and miscellaneous equipment,251686.540803,FC
02,2022,Office furniture and equipment,583682.849258158,FC
02,2022,Right of use - cost,1612195.5785604073,FC
02,2022,Construction in progress,668243.315991,FC
02,2022,Other depreciation assets,44007.53534,FC
02,2022,Accumulated depreciation,-37429607.46542474,FC
02,2022,Appraisal increase of assets,0.0,FC
02,2022,Intangible Assets - Net,5246176.274328237,FC
02,2022,Deferred income tax,191457.18146814484,FC
02,2022,Deferred charges & Others,688369.8194655213,FC
03,2022,Cash on hand and in banks,503046.78902340744,FC
03,2022,Accounts receivable - trade,3220370.636919809,FC
03,2022,Accounts receivable - trade from affiliated company,276775.81757,FC
03,2022,Contract Assets,81.53545,FC
03,2022,Current account receivable from affiliated company,0.0,FC
03,2022,Promissory note and loans to affiliated company,0.0,FC
03,2022,Promissory note and maketable securities,0.0,FC
03,2022,Finished Goods,1567446.173211562,FC
03,2022,Works in process,488072.6824798365,FC
03,2022,Raw materials,942317.2088000824,FC
03,2022,Spare parts,555913.994,FC
03,2022,"Stores, Supplies and others",296510.15700999997,FC
03,2022,Goods in transit,241849.634946802,FC
03,2022,Assets classified as held for sale & Other Current Assets,345131.81551011273,FC
03,2022,Investments - At Cost,409260.5809547494,FC
03,2022,Long Term Loan to Affiliate Co.,0.0,FC
03,2022,Land and land improvements,1295787.31856,FC
03,2022,Buildings and structures,5111572.059330624,FC
03,2022,Plant machinery and equipment,46190655.85701962,FC
03,2022,Transportation and miscellaneous equipment,244531.542326064,FC
03,2022,Office furniture and equipment,584549.2906579744,FC
03,2022,Right of use - cost,1661771.6901046815,FC
03,2022,Construction in progress,662355.7994147771,FC
03,2022,Other depreciation assets,44846.98986,FC
03,2022,Accumulated depreciation,-37608717.42217372,FC
03,2022,Appraisal increase of assets,0.0,FC
03,2022,Intangible Assets - Net,5241567.708682033,FC
03,2022,Deferred income tax,179234.92700220822,FC
03,2022,Deferred charges & Others,718664.4251438972,FC
04,2022,Cash on hand and in banks,385180.720704629,FC
04,2022,Accounts receivable - trade,3339669.18004006,FC
04,2022,Accounts receivable - trade from affiliated company,404141.73734,FC
04,2022,Contract Assets,105.90978999999999,FC
04,2022,Current account receivable from affiliated company,0.0,FC
04,2022,Promissory note and loans to affiliated company,0.0,FC
04,2022,Promissory note and maketable securities,0.0,FC
04,2022,Finished Goods,1384655.586133249,FC
04,2022,Works in process,539479.9694424045,FC
04,2022,Raw materials,1021968.2301994461,FC
04,2022,Spare parts,550852.7733100001,FC
04,2022,"Stores, Supplies and others",296071.32331,FC
04,2022,Goods in transit,257847.16806181698,FC
04,2022,Assets classified as held for sale & Other Current Assets,404604.2078114645,FC
04,2022,Investments - At Cost,418616.93090103427,FC
04,2022,Long Term Loan to Affiliate Co.,0.0,FC
04,2022,Land and land improvements,1295787.31856,FC
04,2022,Buildings and structures,5111757.284151526,FC
04,2022,Plant machinery and equipment,46200911.87165151,FC
04,2022,Transportation and miscellaneous equipment,245544.74442645602,FC
04,2022,Office furniture and equipment,584896.1986110765,FC
04,2022,Right of use - cost,1659349.4783639875,FC
04,2022,Construction in progress,722656.5511370886,FC
04,2022,Other depreciation assets,44846.98986,FC
04,2022,Accumulated depreciation,-37745327.69236834,FC
04,2022,Appraisal increase of assets,0.0,FC
04,2022,Intangible Assets - Net,5139141.406142746,FC
04,2022,Deferred income tax,153744.86733285862,FC
04,2022,Deferred charges & Others,722652.1546846742,FC
05,2022,Cash on hand and in banks,459520.1413701711,FC
05,2022,Accounts receivable - trade,3301512.3944468237,FC
05,2022,Accounts receivable - trade from affiliated company,525009.69191,FC
05,2022,Contract Assets,131.09661,FC
05,2022,Current account receivable from affiliated company,0.0,FC
05,2022,Promissory note and loans to affiliated company,0.0,FC
05,2022,Promissory note and maketable securities,0.0,FC
05,2022,Finished Goods,1293115.2194650732,FC
05,2022,Works in process,510783.6706649795,FC
05,2022,Raw materials,1071541.228509566,FC
05,2022,Spare parts,551153.18131,FC
05,2022,"Stores, Supplies and others",290200.32297,FC
05,2022,Goods in transit,279884.8704049595,FC
05,2022,Assets classified as held for sale & Other Current Assets,397194.1035385648,FC
05,2022,Investments - At Cost,415605.8656334511,FC
05,2022,Long Term Loan to Affiliate Co.,0.0,FC
05,2022,Land and land improvements,1258571.73828,FC
05,2022,Buildings and structures,5112512.982915316,FC
05,2022,Plant machinery and equipment,46193161.729953125,FC
05,2022,Transportation and miscellaneous equipment,237154.01000779797,FC
05,2022,Office furniture and equipment,583206.0347408474,FC
05,2022,Right of use - cost,1707506.4053609269,FC
05,2022,Construction in progress,776013.4731669755,FC
05,2022,Other depreciation assets,44846.98986,FC
05,2022,Accumulated depreciation,-37832590.22557153,FC
05,2022,Appraisal increase of assets,0.0,FC
05,2022,Intangible Assets - Net,5149735.5071569225,FC
05,2022,Deferred income tax,123764.27110167852,FC
05,2022,Deferred charges & Others,734904.554197072,FC
06,2022,Cash on hand and in banks,546809.119129304,FC
06,2022,Accounts receivable - trade,3330742.787927247,FC
06,2022,Accounts receivable - trade from affiliated company,421954.5640135258,FC
06,2022,Contract Assets,155.47095000000002,FC
06,2022,Current account receivable from affiliated company,0.0,FC
06,2022,Promissory note and loans to affiliated company,0.0,FC
06,2022,Promissory note and maketable securities,0.0,FC
06,2022,Finished Goods,1246945.1331279827,FC
06,2022,Works in process,509938.83376901445,FC
06,2022,Raw materials,1076237.248272195,FC
06,2022,Spare parts,546203.43498,FC
06,2022,"Stores, Supplies and others",295549.88267,FC
06,2022,Goods in transit,231014.578057997,FC
06,2022,Assets classified as held for sale & Other Current Assets,431920.3224972804,FC
06,2022,Investments - At Cost,414204.5451837274,FC
06,2022,Long Term Loan to Affiliate Co.,0.0,FC
06,2022,Land and land improvements,1295870.31856,FC
06,2022,Buildings and structures,5124057.875053122,FC
06,2022,Plant machinery and equipment,46260339.19817827,FC
06,2022,Transportation and miscellaneous equipment,241276.2713160255,FC
06,2022,Office furniture and equipment,583993.8695876991,FC
06,2022,Right of use - cost,1721221.9008233547,FC
06,2022,Construction in progress,796300.2890074174,FC
06,2022,Other depreciation assets,44846.98986,FC
06,2022,Accumulated depreciation,-38046879.10744664,FC
06,2022,Appraisal increase of assets,0.0,FC
06,2022,Intangible Assets - Net,5112799.539187248,FC
06,2022,Deferred income tax,92964.92247519757,FC
06,2022,Deferred charges & Others,757057.2528479933,FC
07,2022,Cash on hand and in banks,702362.1592249224,FC
07,2022,Accounts receivable - trade,3684184.32744639,FC
07,2022,Accounts receivable - trade from affiliated company,414381.22532453696,FC
07,2022,Contract Assets,25.18682,FC
07,2022,Current account receivable from affiliated company,0.0,FC
07,2022,Promissory note and loans to affiliated company,0.0,FC
07,2022,Promissory note and maketable securities,0.0,FC
07,2022,Finished Goods,1183297.4458322746,FC
07,2022,Works in process,544431.237690524,FC
07,2022,Raw materials,1107796.1210316755,FC
07,2022,Spare parts,545166.7986900001,FC
07,2022,"Stores, Supplies and others",300113.60661,FC
