bs_month,bs_year,bs_account_name,bs_amount,bs_src
12,2021,Cash on Hand and in Banks,812568.2290915126,PPP
12,2021,Accounts and Notes Receivable - Trade,3144643.457087834,PPP
12,2021,Receivable from Subsidiaries - Trade,25340.036191963998,PPP
12,2021,Receivable from Subsidiaries - Current Account,-78.18418782849994,PPP
12,2021,Promissory Notes Receivable to Subsidiaries,1620413.1103615523,PPP
12,2021,Contract Assets,0.0,PPP
12,2021,Inventories - Finished Goods,1237406.9959624014,PPP
12,2021,Goods in Process,246805.73021286726,PPP
12,2021,Raw Materials,1569780.9100577077,PPP
12,2021,Spare Parts,136253.0388552767,PPP
12,2021,"Stores, Supplies and Others",101582.04682305882,PPP
12,2021,Goods in Transit,128979.257297396,PPP
12,2021,Other Current Assets,238249.8999465489,PPP
12,2021,Investments - At Cost,19573868.38662529,PPP
12,2021,"Property, Plant And Equipment - At Cost",0.0,PPP
12,2021,Land and Land Improvements,677666.7079236666,PPP
12,2021,Buildings and Structures,2802132.3668185654,PPP
12,2021,Plant Machinery and Equipment,10193971.833418597,PPP
12,2021,Transportation and Miscellaneous Equipment,354451.8650061595,PPP
12,2021,Office Furniture and Equipment,151771.2901663965,PPP
12,2021,Construction in Progress,804899.8211293981,PPP
12,2021,Sundry Assets,14787.294886916501,PPP
12,2021,Accumulated Depreciation,-7633916.787360247,PPP
12,2021,Right of Use Assets,-3977.3468700000003,PPP
12,2021,Other Assets,0.0,PPP
12,2021,Investment Property,6830.280839999999,PPP
12,2021,Goodwill - Dyna & Orient,16200.996195,PPP
12,2021,Deferred Income Tax,56866.58659437415,PPP
12,2021,Deferred Charges & Others,-62292.10869449488,PPP
12,2021,Manpower,1571.0,PPP
01,2022,Cash on Hand and in Banks,870764.7503891392,PPP
01,2022,Accounts and Notes Receivable - Trade,3093048.321671605,PPP
01,2022,Receivable from Subsidiaries - Trade,20041.97664442312,PPP
01,2022,Receivable from Subsidiaries - Current Account,6905.475352976517,PPP
01,2022,Promissory Notes Receivable to Subsidiaries,2642147.5564900003,PPP
01,2022,Contract Assets,0.0,PPP
01,2022,Inventories - Finished Goods,1310755.4422325809,PPP
01,2022,Goods in Process,236017.638762592,PPP
01,2022,Raw Materials,1489541.6304263002,PPP
01,2022,Spare Parts,135305.347282244,PPP
01,2022,"Stores, Supplies and Others",104851.74127140403,PPP
01,2022,Goods in Transit,63332.308209664,PPP
01,2022,Other Current Assets,289774.42109820654,PPP
01,2022,Investments - At Cost,13056005.787941353,PPP
01,2022,"Property, Plant And Equipment - At Cost",0.0,PPP
01,2022,Land and Land Improvements,680784.5838328521,PPP
01,2022,Buildings and Structures,2718060.6340695005,PPP
01,2022,Plant Machinery and Equipment,10402622.574835332,PPP
01,2022,Transportation and Miscellaneous Equipment,348391.72624578804,PPP
01,2022,Office Furniture and Equipment,120592.417107428,PPP
01,2022,Construction in Progress,883845.059413592,PPP
