gl_account_number,gl_account_name,gl_month,gl_year,gl_amount,gl_src
111010100,Cash,11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111010200,Current A/C Balance,11,2021,49003619.28,"E0750 - Siam Kraft Industry Co., Ltd."
111010300,Saving A/C Balance,11,2021,38.03,"E0750 - Siam Kraft Industry Co., Ltd."
111010000,Cash,11,2021,49003657.31,"E0750 - Siam Kraft Industry Co., Ltd."
111020400,Cash in bank-fixed deposit (not over 3 mths),11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111020000,Cash equivalents,11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111000000,Cash and cash equivalents,11,2021,49003657.31,"E0750 - Siam Kraft Industry Co., Ltd."
112010100,Trade receivables - Related parties,11,2021,2219601059.61,"E0750 - Siam Kraft Industry Co., Ltd."
112010200,Trade receivables - Other parties,11,2021,2536698528.42,"E0750 - Siam Kraft Industry Co., Ltd."
112010210,Allowance for impair loss-trade receivables - Other parties,11,2021,-75479223.08,"E0750 - Siam Kraft Industry Co., Ltd."
112010300,Notes receivable,11,2021,21132766.44,"E0750 - Siam Kraft Industry Co., Ltd."
112010000,Trade receivables,11,2021,4701953131.39,"E0750 - Siam Kraft Industry Co., Ltd."
112020150,Other receivable - Employees,11,2021,1604121.68,"E0750 - Siam Kraft Industry Co., Ltd."
112020200,Other receivable - Others,11,2021,537996312.38,"E0750 - Siam Kraft Industry Co., Ltd."
112020210,Allowance for impairment loss on other receivables,11,2021,-18243446.06,"E0750 - Siam Kraft Industry Co., Ltd."
112020410,Accrued interest income,11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020490,Accrued incomes - Others,11,2021,23523043.67,"E0750 - Siam Kraft Industry Co., Ltd."
112020500,Prepaid expenses - Royalty fee & License,11,2021,13291871.28,"E0750 - Siam Kraft Industry Co., Ltd."
112020510,Prepaid expense - Other tax,11,2021,326058.81,"E0750 - Siam Kraft Industry Co., Ltd."
112020520,Prepaid Expense-Rent,11,2021,-62001.5,"E0750 - Siam Kraft Industry Co., Ltd."
112020590,Prepaid expenses - Others,11,2021,51718427.78,"E0750 - Siam Kraft Industry Co., Ltd."
112020600,Advances payment-Goods/Services,11,2021,2393433.96,"E0750 - Siam Kraft Industry Co., Ltd."
112020610,Advance payment for PPE,11,2021,29267788.57,"E0750 - Siam Kraft Industry Co., Ltd."
112020630,Advance payment - Share,11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020690,Advance payment for Others,11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020700,Deposits - Paid,11,2021,990158.6,"E0750 - Siam Kraft Industry Co., Ltd."
112020910,Refundable Tax (Non CIT),11,2021,97093112.83,"E0750 - Siam Kraft Industry Co., Ltd."
112020920,Value added tax (Input tax > Output tax),11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020930,VAT-Input Tax - Deferred (Recoverable),11,2021,18573576.39,"E0750 - Siam Kraft Industry Co., Ltd."
112020940,Import duty refund,11,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020950,Tax refund coupon,11,2021,13224591.23,"E0750 - Siam Kraft Industry Co., Ltd."
112020000,Other receivables,11,2021,771697049.62,"E0750 - Siam Kraft Industry Co., Ltd."
112030100,Contract assets,11,2021,14016448.05,"E0750 - Siam Kraft Industry Co., Ltd."
112030000,Current contract assets,11,2021,14016448.05,"E0750 - Siam Kraft Industry Co., Ltd."
