gl_account_number,gl_account_name,gl_month,gl_year,gl_amount,gl_src,scd_active,scd_start,scd_end
111010100,Cash,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
111010200,Current A/C Balance,12,2021,49003619.28,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
111010300,Saving A/C Balance,12,2021,38.03,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
111010000,Cash,12,2021,49003657.31,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
111020400,Cash in bank-fixed deposit (not over 3 mths),12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
111020000,Cash equivalents,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
111000000,Cash and cash equivalents,12,2021,49003657.31,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112010100,Trade receivables - Related parties,12,2021,2219601059.61,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112010200,Trade receivables - Other parties,12,2021,2536698528.42,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112010210,Allowance for impair loss-trade receivables - Other parties,12,2021,-75479223.08,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112010300,Notes receivable,12,2021,21132766.44,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112010000,Trade receivables,12,2021,4701953131.39,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020150,Other receivable - Employees,12,2021,1604121.68,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020200,Other receivable - Others,12,2021,537996312.38,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020210,Allowance for impairment loss on other receivables,12,2021,-18243446.06,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020410,Accrued interest income,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020490,Accrued incomes - Others,12,2021,23523043.67,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020500,Prepaid expenses - Royalty fee & License,12,2021,13291871.28,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020510,Prepaid expense - Other tax,12,2021,326058.81,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020520,Prepaid Expense-Rent,12,2021,-62001.5,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020590,Prepaid expenses - Others,12,2021,51718427.78,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020600,Advances payment-Goods/Services,12,2021,2393433.96,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020610,Advance payment for PPE,12,2021,29267788.57,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020630,Advance payment - Share,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020690,Advance payment for Others,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020700,Deposits - Paid,12,2021,990158.6,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020910,Refundable Tax (Non CIT),12,2021,97093112.83,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020920,Value added tax (Input tax > Output tax),12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020930,VAT-Input Tax - Deferred (Recoverable),12,2021,18573576.39,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020950,Tax refund coupon,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112020000,Other receivables,12,2021,13224591.23,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112030100,Contract assets,12,2021,771697049.62,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112030000,Current contract assets,12,2021,14016448.05,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
112000000,Trade and other current receivables,12,2021,14016448.05,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
113020100,Short-term loans - Related parties,12,2021,5487666629.06,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
113020000,Short-term loans,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
113000000,Short-term Loans,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114010100,Finished goods,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114010110,Accumulated decline in value of finished goods,12,2021,1284933981.38,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114010000,Finished goods,12,2021,-7627108.16,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114020100,Goods in process,12,2021,1277306873.22,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114020110,Accumulated decline in value of goods in process,12,2021,111299516.74,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114020000,Goods in process,12,2021,-493432.8,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114030100,Raw materials,12,2021,110806083.94,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114030110,Accumulated decline in value of raw materials,12,2021,1803820119.58,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114030000,Raw materials,12,2021,-11232047.08,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114040100,Spare parts,12,2021,1792588072.5,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114040120,Accumulated other write-down of spare parts,12,2021,300479213.83,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114040000,Spare parts,12,2021,-6125395.04,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114050100,"Stores, supplies and others",12,2021,294353818.79,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114050110,"Accumulated decline in value of stores, supplies and others",12,2021,419979543.78,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114050120,"Accumulated other write-down of stores, supplies and others",12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114050000,"Stores, supplies and others",12,2021,-2960077.79,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114060100,Goods in transit,12,2021,417019465.99,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114060000,Goods in transit,12,2021,546928396.44,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
114000000,Inventories,12,2021,546928396.44,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
115040100,Fixed deposit maturity within 1 year - Amortized cost,12,2021,4439002710.88,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
115040000,Fixed deposit maturity within 1 year - Amortized cost,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
115080210,Derivative assets - Foreign exchange risk - Fair value adj.,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
115080310,Derivative assets - Interest risk- Fair value adj.,12,2021,7387039.54,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
115080000,Derivative assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
115000000,Other current financial assets,12,2021,7387039.54,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
116010100,Corporate income tax assets - Current Year,12,2021,7387039.54,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
116010200,Corporate income tax assets - Prior Year,12,2021,3335091.66,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
116010000,Corporate income tax assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
116000000,Other current assets,12,2021,3335091.66,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
119900100,Interco.elim.offset-Trade receivables,12,2021,3335091.66,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
119900350,Interco.elim.offset-Contract assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
119900000,Other current assets - Intercompany eliminations offset,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
110000000,Total current assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121060100,Investment in equity instrument - FVOCI,12,2021,9986395128.45,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121060110,Invest in equity instrument - FVOCI - Fair Value adj.,12,2021,806957866.96,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121060000,Investment in equity instrument - FVOCI,12,2021,351243560.6,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121080210,Derivative assets -Non-current - Foreign excha risk - FV adj,12,2021,1158201427.56,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121080310,Derivative assets -Non-current - Interest risk- FV adj.,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121080000,Derivative assets - Non-current,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
121000000,Other non-current financial assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
122010100,Investments in subsidiaries - Cost,12,2021,1158201427.56,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
122010000,Investments in subsidiaries,12,2021,32064782914.110004,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
122000000,"Investments in subsidiaries, joint ventures and associates",12,2021,32064782914.110004,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020100,Other receivable - Non-current,12,2021,32064782914.110004,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020300,Prepaid expenses - Royalty fee & License - Non-current,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020310,Prepaid Expense-Rent-Non-current,12,2021,31601912.51,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020390,Prepaid expenses - Other - Non-current,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020500,Deposits for import duty,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020510,Deposits - Paid - Non-current,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123020000,Other receivables - Non-current,12,2021,1872055.73,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
123000000,Other non-current receivables,12,2021,33473968.24,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
125010100,Investment property - Land & Land improvements,12,2021,33473968.24,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
125010110,Accumulated depreciation -IP- Land & Land improvements,12,2021,83405443.47,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
125010000,Investment property - Land & Land improvements,12,2021,-51928207.75,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
125000000,Investment property,12,2021,31477235.72,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126010100,Land,12,2021,31477235.72,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126010200,Land improvements,12,2021,17685578.43,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126010210,Accumulated depreciation  - Land improvements,12,2021,839264910.26,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126010000,Land and Land improvements,12,2021,-458178945.14,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126020100,Building and structures,12,2021,398771543.55,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126020110,Accumulated depreciation  - Building and structures,12,2021,5424760493.38,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126020000,Building and structures,12,2021,-3048173943.15,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126025100,Machinery and equipment,12,2021,2376586550.23,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126025110,Accumulated depreciation  - Machinery&equipment,12,2021,32521893109.2,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126025000,Machinery and equipment,12,2021,-21644878627.19,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126030100,Transportation equipment,12,2021,10877014482.01,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126030110,Accumulated depreciation and - Transportation equipment,12,2021,109666909.82,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126030000,Transportation equipment,12,2021,-71859806.96,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126035100,Office furniture and equipment,12,2021,37807102.86,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126035110,Accumulated depreciation - Office furniture&equipment,12,2021,618975311.27,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126035000,Office furniture and equipment,12,2021,-527568538.44,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126040100,Construction work in progress,12,2021,91406772.83,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126040000,Construction work in progress,12,2021,1093565611.41,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126060100,ROU - Land and land improvements,12,2021,1093565611.41,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126060110,ROU - Accumulated depreciation - Land and land improvements,12,2021,488661336.8,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126060000,ROU - Land and land improvements,12,2021,-44553544.36,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126065100,ROU - Building and structures,12,2021,444107792.44,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126065110,ROU - Accumulated depreciation - Building and structures,12,2021,79693067.74,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126065000,ROU - Building and structures,12,2021,-48573870.82,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126070100,ROU - Plant machinery and equipment,12,2021,31119196.92,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126070110,ROU - Accum. depreciation - Plant machinery and equipment,12,2021,11181976.25,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126070000,ROU - Plant machinery and equipment,12,2021,-3476568.34,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126075100,ROU - Transportation equipment,12,2021,7705407.91,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126075110,ROU - Accumulated depreciation - Transportation equipment,12,2021,84082876.48,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126075000,ROU - Transportation equipment,12,2021,-26266090.38,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126080100,ROU - Office furniture and equipment,12,2021,57816786.1,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126080110,ROU - Accum. depreciation - Office furniture and equipment,12,2021,31135754.4,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126080000,ROU - Office furniture and equipment,12,2021,-10456750.68,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
126000000,"Property, plant and equipment",12,2021,20679003.72,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127010100,Goodwill,12,2021,15436580249.98,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127010000,Goodwill,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127000000,Goodwill,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127110100,Software licenses,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127110110,Accumulated amortization - Software licenses,12,2021,453382410.32,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127110000,Software licenses,12,2021,-372639332.31,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127115100,"Patent, copyright and trade secret - Purchase from outside",12,2021,80743078.01,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127115110,"Accum. Amortize- Patent, copyright & trade secret-Purchase",12,2021,2100000.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127115000,"Patent, copyright and trade secret - Purchase from outside",12,2021,-1066684.93,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127120100,"Patent, copyright and trade secret - Self development",12,2021,1033315.07,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127120110,"Accum. Amort.-Patent,copyright&trade secret - Self develop",12,2021,11642625.3,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127120000,"Patent, copyright and trade secret - Self development",12,2021,-532689.98,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127130100,Intangible assets from development process (RMA),12,2021,11109935.32,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127130110,Accum. Amortize- Intangible assets from development (RMA),12,2021,38072815.64,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127130000,Intangible assets from development process (RMA),12,2021,-3647065.09,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127135100,Intangible assets work in progress (AUC),12,2021,34425750.55,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127135000,Intangible assets work in progress (AUC),12,2021,47834095.41,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127155100,Intangible Assets - Others,12,2021,47834095.41,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127155110,Accumulated amortization - Intangible Assets - Others,12,2021,1000000.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127155000,Intangible assets - Others,12,2021,-500092.6,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
127100000,Other intangible assets,12,2021,499907.4,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010100,Deferred income tax-Receivables,12,2021,175646081.76,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010150,Deferred income tax-Inventories,12,2021,18744533.83,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010300,"Deferred income tax-Property, plant and equipment",12,2021,5687612.18,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010500,Deferred income tax-Employee benefits,12,2021,1292.01,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010550,Deferred income tax-Provisions,12,2021,131635864.18,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010650,Deferred income tax-Leases-Leasee,12,2021,52064077.51,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010800,Deferred income tax-Derivative,12,2021,3994736.37,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010900,Deferred income tax-Loss carry forward,12,2021,3589212.68,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010990,Deferred income tax-Others,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010999,Deferred income tax-DTA-Offseting,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128010000,Deferred tax assets,12,2021,-215717328.76,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
128000000,Deferred tax assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
120000000,Total non-current assets,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
100000000,Total assets,12,2021,48900161877.369995,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
211020100,Short-term borrowings from financial institutions,12,2021,58886557005.82001,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
211020200,Promissory notes from financial institutions,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
211020000,Short-term borrowings from financial institutions,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
211000000,Bank overdrafts & ST borrowings from financial institutions,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212010100,Trade payables - Related parties,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212010200,Trade payables - Other parties,12,2021,-1249151147.08,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212010000,Trade payables,12,2021,-1552199021.85,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020100,Other payables - Purchase of investments,12,2021,-2801350168.93,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020110,"Other payables - Property, plant and equipment",12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020190,Other payables - Others,12,2021,-77633004.54,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020200,Employee payables,12,2021,-222791428.26,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020310,Accrued interest expenses,12,2021,-882414.78,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020320,Accrued interest expenses - ROU,12,2021,-16008854.9,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020330,Accrued expenses -  Wages / Bonus / MSP,12,2021,-1754512.97,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020340,Accrued expenses -  Contract labour and Wages from outside,12,2021,-269069506.15,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020350,Accrued expenses -  Freight / Delivery expenses,12,2021,-1099776.15,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020360,Accrued expenses -  Rebate,12,2021,-43195773.94,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020370,Accrued expenses -  Sale promotion / Commission / Royalty,12,2021,-30929367.89,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020390,Accrued exp. - Electric/Power/Water/Insurance/Factory,12,2021,-5674908.41,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020400,Accrued exp. - professional and consultant fee,12,2021,-8687410.25,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020420,Accrued expenses - Rent,12,2021,-596083.37,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020450,Accrued expenses -  Tax,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020460,Accrued expenses&Unbilled trade payable-Goods&Services,12,2021,-68770.7,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020490,Accrued expenses - Others,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020600,Deposits - Received,12,2021,-26067521.85,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020610,Vendor retention,12,2021,-987090.3,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020900,Revenue Department & Others government tax payble,12,2021,-6216500.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020910,Employee income tax deducted at source,12,2021,-10239500.76,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020920,Income tax deducted at source by company,12,2021,-13543.98,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020930,Value added tax (Output tax > Input tax),12,2021,-7008637.98,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020940,VAT Output Tax-Deferred (Payable),12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212020000,Other payables,12,2021,-10422480.68,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212030100,Contract liabilities,12,2021,-26152614.26,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212030000,Current contract liabilities,12,2021,-287389.37,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
212000000,Trade and other current payables,12,2021,-765787091.49,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
213000200,Current portion of long-term borrowings - other parties,12,2021,-40291049.81,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
213000000,Current portion of long-term borrowings,12,2021,-40291049.81,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
215000100,Current portion AP - Lease liabilities,12,2021,-3607428310.23,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
215000110,Current portion deferred interest expense-Lease liabilities,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
215000000,Current portion of lease liabilities,12,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
216000100,Short-term borrowings - Related parties,12,2021,-84501739.54,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
216000000,Short-term borrowings,12,2021,22442838.04,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-12-01,
